datetime,temp_f,humidity
2025-08-03T23:55:00-07:00,64.8,95.0
2025-08-03T23:50:00-07:00,64.8,95.0
2025-08-03T23:45:00-07:00,64.8,95.0
2025-08-03T23:40:00-07:00,64.8,95.0
2025-08-03T23:35:00-07:00,64.8,95.0
2025-08-03T23:30:00-07:00,64.6,95.0
2025-08-03T23:25:00-07:00,64.6,95.0
2025-08-03T23:20:00-07:00,64.6,95.0
2025-08-03T23:15:00-07:00,64.8,95.0
2025-08-03T23:10:00-07:00,64.8,95.0
2025-08-03T23:05:00-07:00,64.8,95.0
2025-08-03T23:00:00-07:00,64.6,95.0
2025-08-03T22:55:00-07:00,64.6,95.0
2025-08-03T22:50:00-07:00,64.6,95.0
2025-08-03T22:45:00-07:00,64.6,95.0
2025-08-03T22:40:00-07:00,64.6,95.0
2025-08-03T22:35:00-07:00,64.6,95.0
2025-08-03T22:30:00-07:00,64.6,95.0
2025-08-03T22:25:00-07:00,64.6,95.0
2025-08-03T22:20:00-07:00,64.6,95.0
2025-08-03T22:15:00-07:00,64.6,95.0
2025-08-03T22:10:00-07:00,64.6,95.0
2025-08-03T22:05:00-07:00,64.8,95.0
2025-08-03T22:00:00-07:00,64.8,95.0
2025-08-03T21:55:00-07:00,64.8,95.0
2025-08-03T21:50:00-07:00,64.9,95.0
2025-08-03T21:45:00-07:00,64.9,94.0
2025-08-03T21:40:00-07:00,64.9,94.0
2025-08-03T21:35:00-07:00,64.9,94.0
2025-08-03T21:30:00-07:00,64.9,94.0
2025-08-03T21:25:00-07:00,65.1,94.0
2025-08-03T21:20:00-07:00,65.1,94.0
2025-08-03T21:15:00-07:00,65.1,94.0
2025-08-03T21:10:00-07:00,65.1,94.0
2025-08-03T21:05:00-07:00,65.3,94.0
2025-08-03T21:00:00-07:00,65.3,94.0
2025-08-03T20:55:00-07:00,65.3,93.0
2025-08-03T20:50:00-07:00,65.3,93.0
2025-08-03T20:45:00-07:00,65.3,93.0
2025-08-03T20:40:00-07:00,65.5,93.0
2025-08-03T20:35:00-07:00,65.3,93.0
2025-08-03T20:30:00-07:00,65.3,93.0
